lat,lon,tz,Date,units,cloud_cover.afternoon,humidity.afternoon,precipitation.total,temperature.min,temperature.max,temperature.afternoon,temperature.night,temperature.evening,temperature.morning,pressure.afternoon,wind.max.speed,wind.max.direction
43.65107,-79.347015,-05:00,2022-01-01,metric,100.0,90.0,3.89,-2.2,4.06,2.96,3.62,1.13,3.92,1007.0,2.68,37.0
43.65107,-79.347015,-05:00,2022-01-02,metric,90.0,82.0,7.36,-10.52,-2.58,-7.07,-2.58,-7.31,-4.86,1012.0,3.58,45.0
43.65107,-79.347015,-05:00,2022-01-03,metric,7.0,55.0,1.27,-11.91,-5.9,-8.0,-11.0,-7.29,-9.57,1026.0,3.58,270.0
43.65107,-79.347015,-05:00,2022-01-04,metric,30.0,68.0,1.25,-7.0,2.31,-0.7,-7.0,0.43,-5.87,1021.0,4.16,251.0
43.65107,-79.347015,-05:00,2022-01-05,metric,90.0,80.0,0.8,-3.54,3.66,3.39,-0.34,0.25,3.01,999.0,5.36,185.0
43.65107,-79.347015,-05:00,2022-01-06,metric,83.0,74.0,0.1,-6.79,-2.99,-3.71,-4.66,-4.77,-6.71,1011.0,1.79,304.0
43.65107,-79.347015,-05:00,2022-01-07,metric,72.0,70.0,0.0,-11.19,-5.39,-9.1,-5.39,-9.26,-9.23,1016.0,1.79,33.0
43.65107,-79.347015,-05:00,2022-01-08,metric,90.0,83.0,0.59,-16.91,-0.02,-6.2,-12.2,-2.98,-16.91,1032.0,2.68,120.0
43.65107,-79.347015,-05:00,2022-01-09,metric,100.0,83.0,2.45,-6.4,3.19,3.11,0.2,-2.32,1.32,1009.0,4.92,280.0
43.65107,-79.347015,-05:00,2022-01-10,metric,95.0,62.0,0.37,-14.79,-6.93,-7.48,-6.93,-9.76,-9.14,1019.0,2.68,240.0
43.65107,-79.347015,-05:00,2022-01-11,metric,90.0,73.0,0.0,-20.51,-4.37,-14.91,-16.86,-8.74,-20.5,1033.0,2.68,60.0
43.65107,-79.347015,-05:00,2022-01-12,metric,90.0,76.0,0.25,-4.25,1.35,1.31,-4.25,0.75,-0.37,1012.0,3.58,204.0
43.65107,-79.347015,-05:00,2022-01-13,metric,90.0,91.0,0.85,-1.77,1.1,0.14,-0.22,0.14,-0.6,1012.0,4.92,50.0
43.65107,-79.347015,-05:00,2022-01-14,metric,16.0,66.0,0.0,-17.18,-1.41,-8.7,-1.56,-12.37,-4.63,1023.0,3.13,7.0
43.65107,-79.347015,-05:00,2022-01-15,metric,100.0,47.0,0.0,-20.48,-12.98,-16.64,-17.82,-14.56,-20.18,1033.0,5.66,30.0
43.65107,-79.347015,-05:00,2022-01-16,metric,1.0,71.0,0.47,-17.9,-2.11,-5.3,-17.9,-3.72,-14.73,1018.0,5.36,119.0
43.65107,-79.347015,-05:00,2022-01-17,metric,90.0,90.0,27.53,-5.83,-3.27,-4.46,-3.55,-4.58,-5.11,990.0,3.13,31.0
43.65107,-79.347015,-05:00,2022-01-18,metric,25.0,71.0,1.38,-10.55,-2.88,-9.03,-3.85,-7.37,-7.71,1017.0,1.79,39.0
